"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2018,116708172,9,
2018,116710386,1,
2018,116712385,6,
2018,116712452,1,
2018,106212712,1,
2018,106215678,1,
2018,106215804,10,
2018,106211668,1,
2018,106211741,1,
2018,106211743,1,
2018,116717027,9,
2018,116606970,1,
2018,116700960,1,
2018,116709929,1,
2018,116710494,6,
2018,105257631,1,
2018,106214290,9,
2018,106215706,6,
2018,116606833,9,
2018,106210767,1,
2018,106211847,1,
2018,105258463,1,
2018,109285098,1,
2018,109281508,9,
2018,126053441,9,
2018,125169272,9,
2018,125169271,17,
2018,127568480,1,
2018,128017595,1,
2018,124398661,1,
2018,124391738,1,
2018,124391739,1,
2018,124398850,1,
2018,105831907,3,
2018,104552466,1,
2018,104552823,1,
2018,104552886,10,
2018,104553288,2,
2018,105258678,1,
2018,110230733,1,
2018,110230535,1,
2018,110224933,1,
2018,110225024,1,
2018,110231715,10,
2018,110230896,1,
2018,110224713,1,
2018,110226258,10,
2018,110226595,1,
2018,109281137,9,
2018,109278970,10,
2018,109279391,9,
2018,109279393,9,
2018,109285131,1,
2018,109285253,9,
2018,112574174,1,
2018,109279149,1,
2018,109279018,10,
2018,109281164,10,
2018,112573588,1,
2018,112584382,1,
2018,110224970,9,
2018,110225048,9,
2018,110225050,9,
2018,110230908,1,
2018,110224728,2,
2018,110226272,1,
2018,110225027,9,
2018,109284894,1,
2018,112574898,1,
2018,112574899,1,
2018,112578088,1,
2018,112574301,10,
2018,112583392,1,
2018,112575407,9,
2018,112580137,1,
2018,112575606,6,
2018,112574749,1,
2018,112574789,9,
2018,112575338,1,
2018,112578111,1,
2018,112578520,9,
2018,112574606,1,
2018,110226113,9,
2018,110226129,9,
2018,113653226,17,
2018,112583679,9,
2018,112579996,9,
2018,112583856,9,
2018,116616943,17,
2018,105833664,1,
2018,116606742,1,
2018,113653231,12,1
2018,116700845,9,
2018,116700919,2,
2018,116700983,1,
2018,111060951,1,
2018,112582610,1,
2018,112575610,9,
2018,112584676,1,
2018,112576091,1,
2018,116700527,6,
2018,116700926,1,
2018,116708278,1,
2018,116710339,1,
2018,112583852,1,
2018,112575285,1,
2018,105833733,10,
2018,105257596,3,
2018,105257577,3,
2018,105257898,1,
2018,110230701,1,
2018,110230889,1,
2018,110230906,9,
2018,110230988,6,
2018,110230987,1,
2018,110231282,9,
2018,110225246,1,
2018,110225248,1,
2018,110231748,1,
2018,110224710,2,
2018,105258020,9,
2018,106210758,1,
2018,106211047,9,
2018,106211435,1,
2018,106212095,9,
2018,106213659,3,
2018,106214471,1,
2018,106214477,10,
2018,106214563,1,
2018,106215558,1,
2018,105833082,9,
2018,105833550,9,
2018,106215810,1,
2018,109285075,1,
2018,109281468,1,
2018,104556886,1,
2018,103696874,9,
2018,104552438,9,
2018,125307274,9,
2018,125307275,9,
2018,125307276,9,
2018,103697642,10,
2018,103699891,1,
2018,104555395,1,
2018,104552537,1,
2018,104556789,10,
2018,103702267,1,
2018,103702291,1,
2018,103697620,1,
2018,104552589,1,
2018,106214560,1,
2018,106215325,10,
2018,109279408,1,
2018,109281552,1,
2018,104553149,1,
2018,103696862,1,
2018,104558732,1,
2018,111056664,2,
2018,109281510,1,
2018,109285195,6,
2018,116708088,1,
2018,116705604,1,
2018,111054214,9,
2018,111056444,1,
2018,111057049,1,
2018,111061435,1,
2018,116708122,10,
2018,116711906,1,
2018,116709736,8,
2018,116709735,8,
2018,116710478,1,
2018,116717013,1,
2018,109281604,10,
2018,116708112,10,
2018,116710486,9,
2018,109281202,1,
2018,110226556,1,
2018,110230956,9,
2018,109281127,9,
2018,110226425,1,
2018,110226549,8,
2018,110226351,9,
2018,110226458,1,
2018,109278984,9,
2018,109281204,9,
2018,110230650,1,
2018,111056511,1,
2018,111056515,1,
2018,111061102,1,
2018,110226182,9,
2018,110230946,10,
2018,116705024,6,
2018,112579077,1,
2018,112574373,6,
2018,112583032,6,
2018,112580658,6,
2018,112583484,9,
2018,112575052,1,
2018,111053539,1,
2018,116707896,9,
2018,116707897,9,
2018,116712271,10,
2018,110226033,1,
2018,116707925,10,
2018,116708121,1,
2018,116700941,1,
2018,116716628,10,
2018,116709965,10,
2018,110231673,9,
2018,110226751,1,
2018,116709725,1,
2018,116710430,1,
2018,112583971,9,
2018,112584488,6,
2018,112574662,1,
2018,112580002,9,
2018,112575280,9,
2018,112580162,10,
2018,116700644,10,
2018,116700967,1,
2018,116709773,9,
2018,111056573,2,
2018,112576084,9,
2018,116705019,10,
2018,116709571,1,
2018,116716994,8,
2018,111056246,1,
2018,111054031,9,
2018,111057135,1,
2018,105832119,10,
2018,112573785,9,
2018,112573783,9,
2018,112579380,10,
2018,112575332,1,
2018,112584631,1,
2018,112579980,1,
2018,112575301,6,
2018,111057072,10,
2018,105831708,10,
2018,127629525,1,
2018,124398494,9,
2018,124394882,2,
2018,124393728,1,
2018,110226148,1,
2018,110231081,6,
2018,110231082,6,
2018,110231218,1,
2018,110231415,1,
2018,128512491,10,
2018,110226700,1,
2018,111056321,1,
2018,111061296,3,
2018,111054257,1,
2018,110225161,1,
2018,109281135,1,
2018,109285015,1,
2018,111053913,9,
2018,116707797,9,
2018,116717070,9,
2018,116710447,9,
2018,113653256,9,
2018,113653257,9,
2018,113659112,9,
2018,116606830,10,
2018,116716631,1,
2018,125178814,9,
2018,116705627,10,
2018,124394131,1,
2018,124390799,9,
2018,124395876,1,
2018,124395875,1,
2018,124395877,9,
2018,110225290,9,
2018,110231772,9,
2018,110231774,9,
2018,110226759,9,
2018,110231790,10,
2018,111053521,6,
2018,110226166,1,
2018,110224647,1,
2018,110230836,1,
2018,110226416,1,
2018,110225193,1,
2018,111057018,9,
2018,111053522,1,
2018,111056268,9,
2018,113659093,1,
