"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2018,4,126351361
2018,4,126351363
2018,4,126348087
2018,4,126345220
2018,4,126351402
2018,4,126345240
2018,4,126348122
2018,4,126348137
2018,4,126345270
2018,4,126348142
2018,4,126351466
2018,4,126348203
2018,4,126351537
2018,4,126351540
2018,4,126351556
2018,4,126351558
2018,4,126348255
2018,4,126345439
2018,4,126348285
2018,4,126345449
2018,4,126351626
2018,4,126348317
2018,4,126351634
2018,4,126351646
2018,4,126348323
2018,4,126345483
2018,4,126345484
2018,4,126345487
2018,4,126348332
2018,4,126348335
2018,4,126348336
2018,4,126345496
2018,4,126345495
2018,3,126348352
2018,4,126351667
2018,4,126348360
2018,4,126348363
2018,4,126351672
2018,4,126348373
2018,4,126351683
2018,4,126351688
2018,4,126345521
2018,3,126353233
2018,4,126351689
2018,4,126348384
2018,4,126348390
2018,4,126348397
2018,4,126345538
2018,4,126345531
2018,4,126345532
2018,4,126348400
2018,4,126345541
2018,4,126351714
2018,4,126345545
2018,4,126345550
2018,4,126348412
2018,4,126351736
2018,4,126348421
2018,4,126351746
2018,1,126345572
2018,4,126345574
2018,4,126345573
2018,4,126351754
2018,3,126345588
2018,3,126351766
2018,4,126351774
2018,4,126351784
2018,4,126345600
2018,4,126348447
2018,4,126345602
2018,4,124785260
2018,4,124795094
2018,4,124797089
2018,4,124797088
2018,4,124795155
2018,4,124797103
2018,4,124797131
2018,4,124795180
2018,4,124797152
2018,4,124795241
2018,3,124800422
2018,3,124800423
2018,4,124800449
2018,4,124800455
2018,4,124795288
2018,4,124795306
2018,4,124797262
2018,4,124795326
2018,4,124797280
2018,4,124797291
2018,4,124805341
2018,4,124800536
2018,4,124800535
2018,4,124797324
2018,3,124805366
2018,3,124797341
2018,3,124797355
2018,4,124797382
2018,4,124797411
2018,4,124797417
2018,4,124797430
2018,4,124800716
2018,4,124805460
2018,4,124805461
2018,4,124805462
2018,4,124805478
2018,4,124800803
2018,4,124800820
2018,4,124800839
2018,4,124800837
2018,4,124800867
2018,4,124800877
2018,4,124800905
2018,4,124800934
2018,4,124800958
2018,4,124800968
2018,4,124797609
2018,4,124800992
2018,1,124805602
2018,4,124797624
2018,4,124797632
2018,4,124805613
2018,4,124805620
2018,4,124801096
2018,4,124797694
2018,4,124805682
2018,4,124801156
2018,4,124801209
2018,4,123969702
2018,4,123971172
2018,4,123975913
2018,3,123971201
2018,3,123971202
2018,4,123971244
2018,4,123969797
2018,4,123969802
2018,4,123969818
2018,4,123969822
2018,4,123971290
2018,4,123971292
2018,4,123971315
2018,4,123971316
2018,4,123971334
2018,4,123976044
2018,4,123971337
2018,4,123969871
2018,4,123976098
2018,4,123969921
2018,4,123971471
2018,4,123969967
2018,4,123970250
2018,4,123970251
2018,4,123970256
2018,4,123970257
2018,4,123976360
2018,4,123971912
2018,4,123970303
2018,4,123976388
2018,4,123970328
2018,4,123971948
2018,4,123971981
2018,4,124785270
2018,4,124797048
2018,4,124797058
2018,4,124785318
2018,4,124797110
2018,4,124800352
2018,4,124800377
2018,4,124797157
2018,4,124797171
2018,4,124800405
2018,4,124795290
2018,4,124800476
2018,4,124800491
2018,4,124795319
2018,4,124800511
2018,4,124797290
2018,4,124797310
2018,4,124800558
2018,4,124797326
2018,4,124800572
2018,4,124800589
2018,4,124800591
2018,1,124797358
2018,4,124797367
2018,4,124805409
2018,4,124800744
2018,4,124800760
2018,4,124800824
2018,4,124800833
2018,4,124805503
2018,4,124800844
2018,4,124800850
2018,4,124800851
2018,4,124800860
2018,4,124800878
2018,3,124800915
2018,4,124800922
2018,4,124800925
2018,4,124800926
2018,4,124800950
2018,4,124800983
2018,4,124801010
2018,4,124805640
2018,4,124805642
2018,4,124801086
2018,4,124801091
2018,3,124801101
2018,4,124801114
2018,4,124805680
2018,4,124805692
2018,4,124797740
2018,4,124801204
2018,4,124797742
2018,4,124801205
2018,4,123975973
2018,1,123971264
2018,1,123971266
2018,1,123971265
2018,3,123969844
2018,4,123976038
2018,4,123971328
2018,4,123971404
2018,1,130352992
2018,3,130353004
2018,3,130353005
2018,4,130353006
2018,4,130353015
2018,4,130348222
2018,4,130348223
