"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2018,107273987,20,200,,115256379
2018,107274003,63,700,,115260446
2018,107274029,63,75,,115262930
2018,107278226,38,11,,115260473
2018,107278226,63,1,,115260474
2018,107279501,63,299,,115262953
2018,107278232,10,,,115262963
2018,107278240,11,1,,115256464
2018,107278240,10,,,115262972
2018,107274056,28,65000,,115262973
2018,107278242,28,65000,29-SEP-18,115256466
2018,107274056,62,3500,,115262975
2018,107274056,64,6500,,115262974
2018,107279512,10,,,115256469
2018,107279512,11,1,,115256470
2018,107279514,50,12,,115260491
2018,107279522,52,0,,115256484
2018,107278258,38,100,,115256485
2018,107279525,38,80,,115256495
2018,107274080,33,50,,115263005
2018,102197620,57,350,,108761294
2018,102197699,10,,,108761390
2018,102197943,61,200,21-MAY-18,108761696
2018,102197940,61,200,,108761688
2018,102198038,3,300,,108761812
2018,102198077,20,400,,108761849
2018,102198077,16,60,,108761860
2018,102198077,10,50,,108761863
2018,102198077,6,30,,108761864
2018,102198077,2,100,,108761856
2018,102198131,63,30,,108761941
2018,102198206,11,11,,108762035
2018,102198206,10,,,108762034
2018,102198279,10,,,108762130
2018,102198366,36,150,,108762252
2018,102198366,43,20,,108762255
2018,102198388,10,,,108762273
2018,102198388,11,1,,108762278
2018,102198610,50,30,,108762531
2018,102198616,50,19,,108762538
2018,102198734,10,,,108762695
2018,102198772,63,17000,,108762752
2018,102198776,63,17000,07-MAR-18,108762759
2018,102198837,36,2650,,108762843
2018,102198840,63,100,,108762846
2018,102198849,63,100,,108762856
2018,102198899,10,,,108762919
2018,102199088,3,350,,108763122
2018,102199255,38,1,,108763343
2018,102199270,63,1495,,108763360
2018,102199293,19,35,,108763394
2018,101423068,36,1600,,107756501
2018,101423170,10,,,107756617
2018,101423229,26,300,,107756694
2018,101423229,62,150,,107756698
2018,101423761,10,,,107757341
2018,101423759,63,35,,107757334
2018,101423937,20,97,,107757572
2018,101423142,54,50,,107756589
2018,101423606,8,7,,107757142
2018,101423659,38,930,,107757213
2018,101423831,20,118,,107757429
2018,101423886,33,400,,107757505
2018,101423941,26,30,,107757578
2018,101424190,11,1,,107757893
2018,101424190,10,,,107757888
2018,101424560,20,3696,,107758408
2018,101424599,20,100,,107758453
2018,101424625,21,1,,107758481
2018,102199194,8,25,,108763258
2018,102199220,38,1,,108763294
2018,102199220,3,750,,108763293
2018,102199267,20,1631,,108763355
2018,102199314,38,200,,108763421
2018,102199417,63,140,,108763546
2018,102199541,63,1,,108763704
2018,102199556,10,,,108763721
2018,102199557,53,1,,108763723
2018,102199556,11,1,,108763722
2018,102199620,8,11,07-MAY-18,108763820
2018,102199617,8,11,,108763817
2018,102201325,26,447,,108765921
2018,102201325,16,60,,108765923
2018,102201532,38,25,,108766179
2018,102201570,63,1000,,108766235
2018,102201596,16,10,,108766269
2018,102197379,38,1000,,108760979
2018,102197436,30,50,,108761074
2018,102197432,36,1125,,108761068
2018,102197618,9,0,,108761293
2018,102197698,35,3,,108761393
2018,102197828,10,,,108761558
2018,102197828,11,20,,108761560
2018,102197878,10,,,108761617
2018,102197878,11,2,,108761619
2018,102198052,52,0,,108761831
2018,102198170,7,1260,21-JUN-18,108761988
2018,102198168,7,1260,,108761986
2018,102198373,42,6000,,108762261
2018,102198416,63,391,,108762316
2018,102198491,38,389,,108762404
2018,102198532,38,20,,108762451
2018,102198559,20,162,,108762478
2018,102198603,20,10,,108762525
2018,102198631,50,25,,108762557
2018,102198694,63,10,,108762629
2018,102198865,20,6500,,108762876
2018,102198934,20,50,,108762959
2018,102198968,16,50,,108762998
2018,102198968,26,200,,108762994
2018,102198968,4,350,,108762991
2018,102198977,29,700,,108763011
2018,102199056,20,26118,,108763091
2018,102199092,3,1,08-JUN-18,108763125
2018,102199091,3,1,,108763124
2018,101888309,8,31,,108358666
2018,101888414,31,50,,108358780
2018,101888005,63,250,,108358298
2018,101888004,20,15,,108358293
2018,101888294,61,600,,108358647
2018,101888374,61,34,,108358730
2018,117456546,23,25000,,128556218
2018,101889276,8,470,12-MAR-18,108359841
2018,101889274,8,470,,108359834
2018,101889385,3,1500,11-MAR-18,108359990
2018,101889380,3,1500,,108359980
2018,101889380,36,800,,108359984
2018,101889380,63,50,,108359985
2018,101889408,63,20,,108360020
2018,101889408,62,87,,108360019
2018,101889548,52,0,,108360170
2018,101889620,63,1,,108360247
2018,101889645,7,1,,108360273
2018,101889645,17,1,,108360274
2018,101889223,63,107,,108359755
2018,101889412,63,74,,108360024
2018,101889459,38,5000,,108360075
2018,101889509,36,35,,108360128
2018,101889587,63,920,,108360213
2018,101889650,63,1,,108360280
2018,101889714,62,855,,108360362
2018,101889714,16,300,,108360364
2018,101889764,21,472,,108360427
2018,101889756,21,1,06-APR-18,108360420
2018,102197424,17,450,,108761058
2018,102197524,10,,,108761178
2018,102197540,10,,,108761197
2018,102197540,11,10,,108761199
2018,102197609,11,10,,108761284
2018,102197762,19,837,,108761466
2018,102199241,11,1,,108763329
2018,102199269,11,1,,108763359
2018,102199403,4,2200,,108763528
2018,102199460,11,1,,108763607
2018,102199542,36,1,,108763706
2018,102199618,3,1,04-MAY-18,108763818
2018,102199614,3,1,,108763814
2018,102199832,3,2000,,108764088
2018,102199834,3,2000,12-JUN-18,108764092
2018,101423228,20,1500,,107756684
2018,101423228,26,550,,107756686
2018,101423228,6,300,,107756693
2018,101424182,11,1,,107757882
2018,101424182,10,,,107757881
2018,101424908,63,25,,107758834
2018,101424968,63,1,,107758919
2018,102197466,11,1,,108761104
2018,102197554,38,2000,,108761213
2018,102197549,6,100,,108761207
2018,102197792,11,71,,108761509
2018,102197792,10,,,108761504
2018,102197844,19,74,,108761573
2018,102197938,38,750,,108761690
2018,102197992,51,0,,108761758
2018,102197992,47,0,,108761756
2018,102197992,20,10,,108761750
2018,102197992,25,10,,108761751
2018,102197992,9,0,,108761753
2018,102198199,63,340,,108762023
2018,102198364,63,400,,108762250
2018,102198502,50,22,,108762412
2018,102198518,63,30,,108762435
2018,102200416,17,11,,108764820
2018,102200632,34,200,,108765072
2018,102201293,25,95,,108765886
2018,102201334,63,15,,108765931
2018,102201510,61,200,,108766152
2018,102201513,61,200,10-MAY-18,108766156
2018,102201510,3,3500,,108766150
2018,102201516,61,200,,108766160
2018,102201513,3,3500,10-MAY-18,108766155
2018,102201567,52,0,,108766227
2018,102199719,20,1,,108763943
2018,102199919,10,,,108764208
2018,102199915,6,50,,108764205
2018,102199959,19,66,08-APR-18,108764259
